coded_semel,semel,num,YESHUV_CODE,"prec_recruitment",total
340,778,126.3785456,7,0.640059701,80.88981417
386,2015,126.3117669,7,0.640059701,80.84707182
359,364,126.1759323,7,0.640059701,80.76012956
639,382,126.1195998,7,0.640059701,80.7240734
423,436,125.7552523,7,0.640059701,80.49086925
385,1207,125.4373575,7,0.640059701,80.2873976
95,437,125.4138611,7,0.640059701,80.2723585
646,717,125.0658928,7,0.640059701,80.04963801
456,335,124.9672782,7,0.640059701,79.98651878
425,3648,124.8571036,7,0.640059701,79.91600046
242,3752,124.6363222,7,0.640059701,79.77468718
551,1123,124.4790487,7,0.640059701,79.67402275
630,2011,124.2571941,7,0.640059701,79.53202256
68,689,123.9966631,7,0.640059701,79.36526717
358,780,123.0429498,7,0.640059701,78.75483372
689,3790,122.9975766,7,0.640059701,78.72579216
324,1105,122.8545211,7,0.640059701,78.6342281
502,3578,122.7273793,7,0.640059701,78.55284976
566,787,122.4800095,7,0.640059701,78.39451832
523,699,122.4120928,7,0.640059701,78.35104758
808,4006,122.2065081,7,0.640059701,78.21946109
558,593,122.2013451,7,0.640059701,78.21615647
508,549,122.1766781,7,0.640059701,78.20036811
544,841,121.8864834,7,0.640059701,78.01462618
867,368,121.8692655,7,0.640059701,78.0036057
473,757,121.0539988,7,0.640059701,77.48178634
7,3653,120.806339,7,0.640059701,77.32326928
545,616,120.6079491,7,0.640059701,77.1962879
362,580,119.9335049,7,0.640059701,76.76460335
206,52,119.9240313,7,0.640059701,76.75853968
547,688,119.8230337,6,0.640059701,76.69389518
687,1242,119.2839456,6,0.640059701,76.34884661
620,1174,118.9537037,6,0.640059701,76.13747208
572,1204,118.8285969,6,0.640059701,76.05739626
553,679,118.4842542,6,0.640059701,75.83699637
21,575,118.4146299,6,0.640059701,75.79243267
610,742,118.3230678,6,0.640059701,75.73382746
540,426,118.3067111,6,0.640059701,75.72335819
428,798,118.143964,6,0.640059701,75.61919033
466,559,118.1137993,6,0.640059701,75.59988312
625,686,117.6375121,6,0.640059701,75.29503088
186,756,116.8916597,6,0.640059701,74.81764081
607,3777,116.5934489,6,0.640059701,74.6267681
751,1340,116.3832335,6,0.640059701,74.49221769
88,785,116.324232,6,0.640059701,74.45445321
379,799,116.2584282,6,0.640059701,74.41233485
588,446,115.4082343,6,0.640059701,73.86816
499,4015,115.2251887,6,0.640059701,73.75099988
644,268,115.0139907,6,0.640059701,73.61582055
134,77,114.9837951,6,0.640059701,73.59649357
284,743,114.6944209,6,0.640059701,73.4112768
280,591,114.3716534,6,0.640059701,73.20468633
347,818,114.2496571,6,0.640059701,73.12660142
745,861,114.2328156,6,0.640059701,73.11582185
562,3658,114.1211111,6,0.640059701,73.0443243
245,576,113.6203512,6,0.640059701,72.72380807
555,718,113.5954443,6,0.640059701,72.70786617
743,665,113.1855956,6,0.640059701,72.44553853
248,3764,113.0344828,6,0.640059701,72.34881732
453,396,112.8748422,6,0.640059701,72.2466378
118,3649,112.7922836,6,0.640059701,72.19379537
710,618,112.6849549,6,0.640059701,72.1250986
55,570,112.4762087,6,0.640059701,71.99148857
497,685,112.417094,6,0.640059701,71.95365163
769,448,112.2898355,6,0.640059701,71.87219859
661,3657,112.1747899,6,0.640059701,71.79856254
821,133,112.0265127,6,0.640059701,71.70365628
600,793,111.7805435,6,0.640059701,71.54622131
771,3748,111.6139847,6,0.640059701,71.43961373
303,822,111.2282995,6,0.640059701,71.19275218
287,395,111.1330235,6,0.640059701,71.13176985
467,184,110.9564865,6,0.640059701,71.01877563
592,609,110.8682354,6,0.640059701,70.96228966
415,447,110.5304642,6,0.640059701,70.74609592
800,165,110.2722042,6,0.640059701,70.5807941
256,612,110.2004787,6,0.640059701,70.5348855
179,43,110.0624336,6,0.640059701,70.4465284
516,177,110.02391,6,0.640059701,70.42187099
46,564,109.9095873,6,0.640059701,70.34869764
193,828,109.62193,6,0.640059701,70.16457979
833,387,109.5761625,6,0.640059701,70.13528586
404,191,109.3431642,6,0.640059701,69.98615304
611,622,109.3020753,6,0.640059701,69.95985369
380,379,109.2205643,6,0.640059701,69.90768178
727,1179,109.1121524,6,0.640059701,69.83829169
748,173,108.9888453,6,0.640059701,69.75936779
367,791,108.941717,6,0.640059701,69.72920286
348,2003,108.6016707,6,0.640059701,69.51155293
371,1095,108.4266667,6,0.640059701,69.39953992
281,440,108.0909091,6,0.640059701,69.18463501
462,888,108.020322,6,0.640059701,69.13945505
613,1171,107.7517689,6,0.640059701,68.96756504
700,308,106.9915203,6,0.640059701,68.48096055
820,761,106.9896334,6,0.640059701,68.47975282
529,760,106.7217509,6,0.640059701,68.30829202
702,1114,106.6747705,6,0.640059701,68.27822176
643,365,106.4952227,6,0.640059701,68.16330045
334,772,106.0550594,6,0.640059701,67.88156966
91,1244,105.9263284,6,0.640059701,67.79917414
488,850,105.521784,6,0.640059701,67.54024157
669,1313,105.3975904,6,0.640059701,67.46075025
682,734,105.3017178,6,0.640059701,67.39938606
337,1260,105.2569832,5,0.640059701,67.37075325
471,431,105.2436195,5,0.640059701,67.36219968
786,390,105.1989766,5,0.640059701,67.33362556
357,399,104.7773392,5,0.640059701,67.06375245
531,853,104.755986,5,0.640059701,67.05008513
641,357,104.7392907,5,0.640059701,67.03939914
472,1201,104.6702006,5,0.640059701,66.99517735
