semel,total,,,,male,,,,female,,,
257.00,588.00,,,,280.00,,,,308.00,,,
259.00,806.00,,,,403.00,,,,403.00,,,
262.00,585.00,,,,260.00,,,,324.00,,,
263.00,360.00,,,,183.00,,,,177.00,,,
264.00,543.00,,,,260.00,,,,283.00,,,
265.00,481.00,,,,257.00,,,,224.00,,,
267.00,1938.00,,,,948.00,,,,990.00,,,
268.00,901.00,,,,511.00,,,,390.00,,,
269.00,1068.00,,,,541.00,,,,527.00,,,
270.00,861.00,,,,451.00,,,,410.00,,,
272.00,469.00,,,,244.00,,,,225.00,,,
273.00,676.00,,,,334.00,,,,343.00,,,
274.00,1366.00,,,,693.00,,,,673.00,,,
276.00,3291.00,,,,1712.00,,,,1579.00,,,
278.00,533.00,,,,274.00,,,,260.00,,,
280.00,756.00,,,,368.00,,,,388.00,,,
281.00,535.00,,,,246.00,,,,289.00,,,
282.00,1205.00,,,,596.00,,,,610.00,,,
284.00,1478.00,,,,752.00,,,,726.00,,,
285.00,515.00,,,,254.00,,,,261.00,,,
286.00,793.00,,,,385.00,,,,408.00,,,
287.00,1021.00,,,,472.00,,,,549.00,,,
288.00,1046.00,,,,509.00,,,,537.00,,,
289.00,1249.00,,,,605.00,,,,644.00,,,
290.00,749.00,,,,348.00,,,,401.00,,,
292.00,571.00,,,,296.00,,,,276.00,,,
293.00,583.00,,,,286.00,,,,296.00,,,
294.00,1031.00,,,,512.00,,,,519.00,,,
295.00,531.00,,,,262.00,,,,269.00,,,
296.00,311.00,,,,172.00,,,,139.00,,,
297.00,868.00,,,,450.00,,,,418.00,,,
298.00,433.00,,,,215.00,,,,217.00,,,
300.00,815.00,,,,388.00,,,,428.00,,,
301.00,625.00,,,,305.00,,,,320.00,,,
302.00,962.00,,,,470.00,,,,492.00,,,
303.00,745.00,,,,366.00,,,,378.00,,,
304.00,691.00,,,,362.00,,,,329.00,,,
305.00,428.00,,,,208.00,,,,219.00,,,
306.00,683.00,,,,353.00,,,,330.00,,,
307.00,1060.00,,,,604.00,,,,455.00,,,
308.00,818.00,,,,390.00,,,,428.00,,,
309.00,1181.00,,,,595.00,,,,586.00,,,
310.00,338.00,,,,171.00,,,,168.00,,,
311.00,694.00,,,,357.00,,,,337.00,,,
312.00,232.00,,,,117.00,,,,115.00,,,
313.00,713.00,,,,343.00,,,,370.00,,,
315.00,969.00,,,,469.00,,,,499.00,,,
316.00,1193.00,,,,576.00,,,,617.00,,,
317.00,507.00,,,,262.00,,,,245.00,,,
318.00,209.00,,,,105.00,,,,104.00,,,
319.00,584.00,,,,294.00,,,,290.00,,,
320.00,1143.00,,,,550.00,,,,593.00,,,
322.00,775.00,,,,385.00,,,,391.00,,,
324.00,668.00,,,,348.00,,,,320.00,,,
325.00,1165.00,,,,584.00,,,,581.00,,,
326.00,2131.00,,,,1023.00,,,,1109.00,,,
327.00,1096.00,,,,544.00,,,,552.00,,,
328.00,75.00,,,,42.00,,,,33.00,,,
329.00,1235.00,,,,585.00,,,,650.00,,,
330.00,405.00,,,,197.00,,,,208.00,,,
331.00,1286.00,,,,641.00,,,,645.00,,,
334.00,964.00,,,,490.00,,,,474.00,,,
335.00,1101.00,,,,552.00,,,,549.00,,,
336.00,843.00,,,,437.00,,,,406.00,,,
338.00,458.00,,,,241.00,,,,216.00,,,
339.00,710.00,,,,363.00,,,,348.00,,,
340.00,869.00,,,,434.00,,,,435.00,,,
342.00,466.00,,,,250.00,,,,216.00,,,
343.00,381.00,,,,189.00,,,,192.00,,,
344.00,812.00,,,,387.00,,,,425.00,,,
345.00,674.00,,,,327.00,,,,346.00,,,
346.00,533.00,,,,255.00,,,,279.00,,,
347.00,248.00,,,,133.00,,,,115.00,,,
348.00,611.00,,,,319.00,,,,291.00,,,
351.00,2461.00,,,,1117.00,,,,1343.00,,,
352.00,358.00,,,,180.00,,,,178.00,,,
353.00,83.00,,,,48.00,,,,35.00,,,
354.00,1075.00,,,,549.00,,,,526.00,,,
355.00,335.00,,,,162.00,,,,173.00,,,
356.00,820.00,,,,392.00,,,,428.00,,,
357.00,766.00,,,,372.00,,,,393.00,,,
358.00,737.00,,,,395.00,,,,342.00,,,
359.00,421.00,,,,218.00,,,,203.00,,,
360.00,730.00,,,,375.00,,,,355.00,,,
362.00,689.00,,,,346.00,,,,343.00,,,
363.00,558.00,,,,273.00,,,,285.00,,,
364.00,947.00,,,,489.00,,,,458.00,,,
365.00,712.00,,,,338.00,,,,374.00,,,
366.00,922.00,,,,447.00,,,,476.00,,,
367.00,803.00,,,,410.00,,,,393.00,,,
368.00,839.00,,,,423.00,,,,416.00,,,
369.00,492.00,,,,254.00,,,,239.00,,,
370.00,287.00,,,,139.00,,,,148.00,,,
371.00,247.00,,,,156.00,,,,91.00,,,
372.00,546.00,,,,283.00,,,,264.00,,,
373.00,828.00,,,,417.00,,,,411.00,,,
374.00,612.00,,,,306.00,,,,306.00,,,
375.00,1139.00,,,,576.00,,,,563.00,,,
376.00,847.00,,,,405.00,,,,442.00,,,
377.00,869.00,,,,423.00,,,,446.00,,,
378.00,339.00,,,,162.00,,,,177.00,,,
379.00,968.00,,,,463.00,,,,505.00,,,
380.00,915.00,,,,456.00,,,,459.00,,,
382.00,1403.00,,,,679.00,,,,724.00,,,
383.00,604.00,,,,264.00,,,,340.00,,,
385.00,439.00,,,,224.00,,,,214.00,,,
386.00,1171.00,,,,516.00,,,,655.00,,,
387.00,943.00,,,,457.00,,,,486.00,,,
388.00,619.00,,,,321.00,,,,298.00,,,
389.00,1213.00,,,,612.00,,,,601.00,,,
390.00,1096.00,,,,534.00,,,,562.00,,,
393.00,582.00,,,,283.00,,,,300.00,,,
394.00,820.00,,,,422.00,,,,398.00,,,
395.00,1005.00,,,,503.00,,,,502.00,,,
396.00,996.00,,,,488.00,,,,508.00,,,
397.00,852.00,,,,409.00,,,,443.00,,,
398.00,321.00,,,,159.00,,,,163.00,,,
399.00,1049.00,,,,510.00,,,,539.00,,,
400.00,1807.00,,,,933.00,,,,874.00,,,
402.00,630.00,,,,314.00,,,,316.00,,,
403.00,502.00,,,,245.00,,,,257.00,,,
405.00,997.00,,,,466.00,,,,531.00,,,
406.00,653.00,,,,328.00,,,,325.00,,,
407.00,493.00,,,,245.00,,,,249.00,,,
408.00,620.00,,,,313.00,,,,307.00,,,
409.00,729.00,,,,378.00,,,,350.00,,,
412.00,132.00,,,,105.00,,,,27.00,,,
413.00,471.00,,,,237.00,,,,234.00,,,
414.00,643.00,,,,335.00,,,,308.00,,,
415.00,565.00,,,,286.00,,,,279.00,,,
416.00,767.00,,,,393.00,,,,374.00,,,
417.00,770.00,,,,390.00,,,,380.00,,,
418.00,1370.00,,,,670.00,,,,700.00,,,
419.00,854.00,,,,393.00,,,,462.00,,,
421.00,481.00,,,,232.00,,,,249.00,,,
422.00,972.00,,,,645.00,,,,327.00,,,
423.00,922.00,,,,453.00,,,,469.00,,,
424.00,621.00,,,,303.00,,,,317.00,,,
425.00,1059.00,,,,527.00,,,,532.00,,,
426.00,922.00,,,,433.00,,,,489.00,,,
427.00,389.00,,,,231.00,,,,158.00,,,
428.00,954.00,,,,492.00,,,,462.00,,,
429.00,992.00,,,,500.00,,,,492.00,,,
430.00,843.00,,,,419.00,,,,425.00,,,
431.00,862.00,,,,442.00,,,,420.00,,,
432.00,580.00,,,,280.00,,,,301.00,,,
433.00,687.00,,,,314.00,,,,373.00,,,
434.00,858.00,,,,418.00,,,,440.00,,,
435.00,882.00,,,,440.00,,,,442.00,,,
436.00,1031.00,,,,513.00,,,,518.00,,,
437.00,1089.00,,,,561.00,,,,528.00,,,
439.00,451.00,,,,208.00,,,,243.00,,,
440.00,924.00,,,,576.00,,,,348.00,,,
442.00,471.00,,,,235.00,,,,236.00,,,
443.00,876.00,,,,431.00,,,,445.00,,,
444.00,480.00,,,,235.00,,,,245.00,,,
445.00,1159.00,,,,588.00,,,,571.00,,,
446.00,1379.00,,,,678.00,,,,701.00,,,
447.00,1950.00,,,,919.00,,,,1031.00,,,
448.00,964.00,,,,481.00,,,,483.00,,,
449.00,1788.00,,,,1068.00,,,,719.00,,,
450.00,414.00,,,,206.00,,,,208.00,,,
452.00,553.00,,,,263.00,,,,290.00,,,
453.00,569.00,,,,284.00,,,,285.00,,,
454.00,858.00,,,,418.00,,,,440.00,,,
456.00,1247.00,,,,565.00,,,,682.00,,,
457.00,743.00,,,,359.00,,,,384.00,,,
460.00,660.00,,,,351.00,,,,309.00,,,
462.00,1369.00,,,,702.00,,,,666.00,,,
463.00,692.00,,,,348.00,,,,343.00,,,
464.00,264.00,,,,135.00,,,,129.00,,,
465.00,625.00,,,,322.00,,,,303.00,,,
466.00,7285.00,,,,3678.00,,,,3607.00,,,
469.00,11001.00,,,,5404.00,,,,5597.00,,,
472.00,7698.00,,,,3878.00,,,,3820.00,,,
473.00,14099.00,,,,7184.00,,,,6915.00,,,
475.00,703.00,,,,366.00,,,,337.00,,,
478.00,14784.00,,,,7632.00,,,,7152.00,,,
480.00,12001.00,,,,6065.00,,,,5935.00,,,
481.00,22957.00,,,,11857.00,,,,11100.00,,,
482.00,9812.00,,,,5088.00,,,,4724.00,,,
483.00,8381.00,,,,4200.00,,,,4181.00,,,
485.00,6465.00,,,,3281.00,,,,3184.00,,,
487.00,3105.00,,,,1524.00,,,,1580.00,,,
489.00,10510.00,,,,5370.00,,,,5141.00,,,
490.00,12514.00,,,,6438.00,,,,6077.00,,,
492.00,10339.00,,,,5211.00,,,,5127.00,,,
